SurveyYear,Survey,SurveyQuarter,StaPlanned,StaValComp,DifSta,SurveyCov,DisruptorCat,Disruptor,DurationIfTemp,LocationIf Spat,Comment,NStaAff,SurveyCovAff,Reference,,,,,
2010,SP-NORTH,Q3/Q4,115,114,1,99,2,fisheries,NA,NA,"depths 30-70m, 500-700m",NA,NA,ICES (2011),,,,,
2010,PT-PGFS,Q3/Q4,96,87,9,91,2,fisheries,NA,NA,NA,NA,NA,ICES (2011),,,,,
2011,NS-IBTS GER,Q1,77,74,3,96,3,weather,NA,3 rectangles,NA,3,4,ICES (2011),,,,,
2011,NS-IBTS SCOT,Q1,54,50,4,93,2,weather,NA,east of Shetland Islands,NA,4,7,ICES (2011),,,,,
2011,NS-IBTS NOR,Q3,54,44,10,81,2,weather,NA,"52E9-F1, 50E9, 51E9, 49F0-F1",NA,7,13,ICES (2012),,,,,
2011,UK-SCOGFS,Q4,60,55,5,92,3,weather,1 day,NA,NA,NA,NA,ICES (2012),,,,,
2011,UK-NIGFS,Q1,60,58,2,97,3,weather,NA,NA,NA,NA,NA,ICES (2012),,,,,
2011,UK-NIGFS,Q4,60,61,1,102,1,windfarm,NA,NA,historic station relocated,1,2,ICES (2012),,,,,
2011,IE-IGFS,Q4,170,159,11,94,2,weather,NA,VIIb strata,NA,NA,NA,ICES (2012),,,,,
2011,IE-IGFS,Q4,,,,,3,gear,NA,NA,NA,NA,NA,ICES (2012),,,,,
2011,IE-IGFS,Q4,,,,,2,fisheries,NA,VIa,NA,NA,NA,ICES (2012),,,,,
2011,Cefas Western Groundfish Survey,Q4,67,64,3,96,3,weather,some days,NA,NA,NA,NA,ICES (2012),,,,,
2011,FR-CGFS,Q4,110,103,7,94,3,gear,NA,NA,NA,NA,NA,ICES (2012),,,,,
2011,SP-NORTH,Q3/Q4,113,111,2,98,2,fisheries,NA,"depths 30-70m, 500-700m",,NA,NA,ICES (2012),,,,,
2011,PT-PGFS,Q3/Q4,96,86,10,90,2,fisheries,NA,NA,NA,NA,NA,ICES (2012),,,,,
2011,NS-IBTS GER,Q1,77,67,10,87,3,weather,NA,10 rectangles,NA,10,13,ICES (2012),,,,,
2011,NS-IBTS SCOT,Q3,84,84,0,100,3,gear,NA,rec41F4,station dropped,NA,NA,ICES (2012),,,,,
2012,NS-IBTS GER,Q1,77,67,10,87,3,weather,NA,9 rectangles,NA,9,12,ICES (2012),,,,,
2012,UK-SCOROC,Q3,40,36,4,90,2,fisheries,NA,"north of Rockall, depth 250-350m",NA,NA,NA,ICES (2013),,,,,
2012,UK-NIGFS,Q4,60,60,0,100,1,windfarm,NA,NA,historic station relocated,NA,NA,ICES (2013),,,,,
2012,UK-NIGFS,Q4,,,,,2,fisheries,NA,NA,limiting tow time,NA,NA,ICES (2013),,,,,
2012,UK-NIGFS,Q1,60,59,1,98,1,windfarm,NA,eastern Irish Sea,NA,NA,NA,ICES (2013),,,,,
2012,Cefas Western Groundfish Survey,Q4,,,,,1,financial,NA,NA,limited to reduced Celtic Sea survey in Q1,NA,NA,ICES (2013),,,,,
2012,FR-EVHOE,Q4,155,130,25,84,3,gear,3 days,NA,NA,NA,NA,ICES (2013),,,,,
2012,FR-CGFS,Q4,103,96,7,93,3,gear,NA,NA,NA,NA,NA,ICES (2013),,,,,
